page,country,articlequality,FIPS,Name,Type,TimeFrame,Data (M),Population
Julius Gregr,Czech Republic,,,,,,,
Edvard Gregr,Czech Republic,,,,,,,
Miroslav Poche,Czech Republic,,,,,,,
Vojtěch Mynář,Czech Republic,,,,,,,
Jan Malypetr,Czech Republic,,,,,,,
Emanuel Moravec,Czech Republic,,,,,,,
Vladimír Hučín,Czech Republic,,,,,,,
Pavla Topolánková,Czech Republic,,,,,,,
Josef Barák,Czech Republic,,,,,,,
Antonín Švehla,Czech Republic,,,,,,,
Jakob Marzel Sternberger,Czech Republic,,,,,,,
Alois Anderka,Czech Republic,,,,,,,
Ivan Dejmal,Czech Republic,,,,,,,
Franz Macoun,Czech Republic,,,,,,,
Karel Urbánek,Czech Republic,,,,,,,
Vladimír Klokočka,Czech Republic,,,,,,,
Jaromír Jermář,Czech Republic,,,,,,,
Artur London,Czech Republic,,,,,,,
František Sláma (politician),Czech Republic,,,,,,,
Jan Kubice,Czech Republic,,,,,,,
Kamil Jankovský,Czech Republic,,,,,,,
Václav Vacek,Czech Republic,,,,,,,
Čestmír Císař,Czech Republic,,,,,,,
Luca Rovinalti,Czech Republic,,,,,,,
Kamil Krofta,Czech Republic,,,,,,,
Milan Štěch,Czech Republic,,,,,,,
Antonín Janoušek,Czech Republic,,,,,,,
Bedřich Geminder,Czech Republic,,,,,,,
Karel Domin,Czech Republic,,,,,,,
Hubert Ripka,Czech Republic,,,,,,,
Tomáš Eduard Šilinger,Czech Republic,,,,,,,
Petr Janyška,Czech Republic,,,,,,,
Jana Juřenčáková,Czech Republic,,,,,,,
Jaromír Nečas,Czech Republic,,,,,,,
Siegfried Taub,Czech Republic,,,,,,,
Záviš Kalandra,Czech Republic,,,,,,,
Alois Rašín,Czech Republic,,,,,,,
Bedřich Reicin,Czech Republic,,,,,,,
Bernd Richter,Czech Republic,,,,,,,
Kamil Kalina,Czech Republic,,,,,,,
Richard Sacher,Czech Republic,,,,,,,
Václav Fischer,Czech Republic,,,,,,,
Božena Viková-Kunětická,Czech Republic,,,,,,,
Mikuláš of Hus,Czech Republic,,,,,,,
Gertruda Sekaninová-Čakrtová,Czech Republic,,,,,,,
Petr Mlsna,Czech Republic,,,,,,,
Antonín Cyril Stojan,Czech Republic,,,,,,,
František Kubka,Czech Republic,,,,,,,
Josef Pfitzner,Czech Republic,,,,,,,
Vladimír Franz,Czech Republic,,,,,,,
Jan Stocklassa,Czech Republic,,,,,,,
Jaroslav Krejčí,Czech Republic,,,,,,,
Libuše Benešová,Czech Republic,,,,,,,
Daniela Filipiová,Czech Republic,,,,,,,
Moses Porges von Portheim,Czech Republic,,,,,,,
Jan Kasl,Czech Republic,,,,,,,
Jiří Kittner,Czech Republic,,,,,,,
Miloslav Vlček,Czech Republic,,,,,,,
Ivo Svoboda (politician),Czech Republic,,,,,,,
Hana Orgoníková,Czech Republic,,,,,,,
Pavel Dostál,Czech Republic,,,,,,,
Jiří Lobkowicz,Czech Republic,,,,,,,
Bohuslav Kokotek,Czech Republic,,,,,,,
Alena Hanáková,Czech Republic,,,,,,,
Irena Kočí,Czech Republic,,,,,,,
Martin Netolický,Czech Republic,,,,,,,
David Rath,Czech Republic,,,,,,,
Eva Nováková,Czech Republic,,,,,,,
Vojtěch Adam,Czech Republic,,,,,,,
Vlastimil Balín,Czech Republic,,,,,,,
Jiří Dolejš,Czech Republic,,,,,,,
Zuzka Bebarová-Rujbrová,Czech Republic,,,,,,,
Marie Stiborová,Czech Republic,,,,,,,
Jiří Svoboda (politician),Czech Republic,,,,,,,
Miloslava Vostrá,Czech Republic,,,,,,,
Jiří Čeřovský,Czech Republic,,,,,,,
Jan Korger,Czech Republic,,,,,,,
Kateřina Jacques,Czech Republic,,,,,,,
Tomáš Chalupa,Czech Republic,,,,,,,
Pavel Blažek,Czech Republic,,,,,,,
Aleš Řebíček,Czech Republic,,,,,,,
Ivan Langer,Czech Republic,,,,,,,
Jan Stráský,Czech Republic,,,,,,,
Jan Chvojka,Czech Republic,,,,,,,
Marie Benešová,Czech Republic,,,,,,,
Juraj Chmiel,Czech Republic,,,,,,,
Daniela Kovářová,Czech Republic,,,,,,,
Rostislav Vondruška,Czech Republic,,,,,,,
Martin Štěpánek (actor),Czech Republic,,,,,,,
Helena Třeštíková,Czech Republic,,,,,,,
Milena Vicenová,Czech Republic,,,,,,,
Jaroslav Bašta,Czech Republic,,,,,,,
Josef Lux,Czech Republic,,,,,,,
Miroslav Macek,Czech Republic,,,,,,,
Ladislav Miko,Czech Republic,,,,,,,
Džamila Stehlíková,Czech Republic,,,,,,,
Jozef Moravčík,Czech Republic,,,,,,,
Milan Uhde,Czech Republic,,,,,,,
František Pitra,Czech Republic,,,,,,,
Oldřich Černík,Czech Republic,,,,,,,
Otakar Motejl,Czech Republic,,,,,,,
Ludwig Czech,Czech Republic,,,,,,,
Rudolf Beran,Czech Republic,,,,,,,
Victor Adler,Czech Republic,,,,,,,
Emil Beier,Czech Republic,,,,,,,
Bruno Kafka,Czech Republic,,,,,,,
Lucie Talmanová,Czech Republic,,,,,,,
Martin Mejstřík,Czech Republic,,,,,,,
Vlastimil Tusar,Czech Republic,,,,,,,
Petr Bendl,Czech Republic,,,,,,,
Petr Gandalovič,Czech Republic,,,,,,,
Tomáš Vandas,Czech Republic,,,,,,,
Robert Mayr-Harting,Czech Republic,,,,,,,
Karel Havlíček Borovský,Czech Republic,,,,,,,
Jan Černý,Czech Republic,,,,,,,
Josef Frank (politician),Czech Republic,,,,,,,
Philip Kinsky of Wchinitz and Tettau,Czech Republic,,,,,,,
Luboš Dobrovský,Czech Republic,,,,,,,
Bedřich Moldan,Czech Republic,,,,,,,
Martin Palouš,Czech Republic,,,,,,,
Hermann Zwierzina,Czech Republic,,,,,,,
Eduard Zeman,Czech Republic,,,,,,,
Richard Bienert,Czech Republic,,,,,,,
Václav Hampl,Czech Republic,,,,,,,
Miroslav Grebeníček,Czech Republic,,,,,,,
Vlasta Štěpová,Czech Republic,,,,,,,
Egon Lánský,Czech Republic,,,,,,,
Antonín Prachař,Czech Republic,,,,,,,
Milan Horálek,Czech Republic,,,,,,,
Antonín Novotný,Czech Republic,,,,,,,
Zuzana Brzobohatá,Czech Republic,,,,,,,
Alena Palečková,Czech Republic,,,,,,,
Zuzana Roithová,Czech Republic,,,,,,,
"List of MPs elected in the Czech legislative election, 2017",Czech Republic,,,,,,,
Martin Jahn,Czech Republic,,,,,,,
Pavel Rychetský,Czech Republic,,,,,,,
Gustáv Slamečka,Czech Republic,,,,,,,
Edvard Kožušník,Czech Republic,,,,,,,
Jan Masaryk,Czech Republic,,,,,,,
Jan Koukal,Czech Republic,,,,,,,
Pavel Bém,Czech Republic,,,,,,,
"List of MPs elected in the Czech legislative election, 2013",Czech Republic,,,,,,,
Vít Bárta,Czech Republic,,,,,,,
Karl Kautsky,Czech Republic,,,,,,,
Karl von Czyhlarz,Czech Republic,,,,,,,
Václav Fresl,Czech Republic,,,,,,,
Josef Václav Frič,Czech Republic,,,,,,,
Tomáš Zdechovský,Czech Republic,,,,,,,
Andrea Češková,Czech Republic,,,,,,,
Dana Kuchtová,Czech Republic,,,,,,,
Rudolf Margolius,Czech Republic,,,,,,,
František Ladislav Rieger,Czech Republic,,,,,,,
Petr Mach,Czech Republic,,,,,,,
Jaroslava Moserová,Czech Republic,,,,,,,
Vávra Suk,Czech Republic,,,,,,,
Vojtěch Náprstek,Czech Republic,,,,,,,
Lubomír Štrougal,Czech Republic,,,,,,,
Jan Krejčí,Czech Republic,,,,,,,
Radek John,Czech Republic,,,,,,,
Jan Jesenius,Czech Republic,,,,,,,
Josef Ježek,Czech Republic,,,,,,,
Jana Bobošíková,Czech Republic,,,,,,,
Franz Anton von Kolowrat-Liebsteinsky,Czech Republic,,,,,,,
Viktor Dyk,Czech Republic,,,,,,,
Alois Jirásek,Czech Republic,,,,,,,
"Alexander von Mensdorff-Pouilly, Prince Dietrichstein von Nicolsburg",Czech Republic,,,,,,,
Adriana Krnáčová,Czech Republic,,,,,,,
Ondřej Liška,Czech Republic,,,,,,,
Marcel Chládek,Czech Republic,,,,,,,
Miroslava Kopicová,Czech Republic,,,,,,,
Milan Chovanec,Czech Republic,,,,,,,
František Bublan,Czech Republic,,,,,,,
Jiří Dienstbier Jr.,Czech Republic,,,,,,,
Táňa Fischerová,Czech Republic,,,,,,,
Václav Jehlička,Czech Republic,,,,,,,
Viliam Široký,Czech Republic,,,,,,,
Miroslav Lidinský,Czech Republic,,,,,,,
Petr Cibulka,Czech Republic,,,,,,,
Anna Šabatová,Czech Republic,,,,,,,
Adolph Aloys von Braun,Czech Republic,,,,,,,
Dana Bérová,Czech Republic,,,,,,,
František Palacký,Czech Republic,,,,,,,
Miroslav Kostelka,Czech Republic,,,,,,,
Martin Barták,Czech Republic,,,,,,,
Karolína Peake,Czech Republic,,,,,,,
Petr Ježek,Czech Republic,,,,,,,
František Udržal,Czech Republic,,,,,,,
Václav Havel,Czech Republic,,,,,,,
Pavel Fischer,Czech Republic,,,,,,,
Eva Tylová,Czech Republic,,,,,,,
Dana Jurásková,Czech Republic,,,,,,,
Svatopluk Němeček,Czech Republic,,,,,,,
Richard Brabec,Czech Republic,,,,,,,
Jan Fischer (politician),Czech Republic,,,,,,,
Martin Pecina,Czech Republic,,,,,,,
Vlasta Parkanová,Czech Republic,,,,,,,
Martin Bursík,Czech Republic,,,,,,,
Lubomír Zaorálek,Czech Republic,,,,,,,
Radola Gajda,Czech Republic,,,,,,,
Karel Schwarzenberg,Czech Republic,,,,,,,
Vlasta Svobodová,Czech Republic,,,,,,,
Ondřej Přikryl,Czech Republic,,,,,,,
Milada Horáková,Czech Republic,,,,,,,
Martin Holcát,Czech Republic,,,,,,,
Alena Dernerová,Czech Republic,,,,,,,
Marian Jurečka,Czech Republic,,,,,,,
Pavel Bělobrádek,Czech Republic,,,,,,,
Dan Ťok,Czech Republic,,,,,,,
Jiří Dienstbier,Czech Republic,,,,,,,
Rudolf Slánský,Czech Republic,,,,,,,
Alexandr Vondra,Czech Republic,,,,,,,
Jaroslav Šedivý,Czech Republic,,,,,,,
Cyril Svoboda,Czech Republic,,,,,,,
Jan Kohout,Czech Republic,,,,,,,
Miloš Vystrčil,Czech Republic,,,,,,,
Alois Eliáš,Czech Republic,,,,,,,
Jan Skopeček (politician),Czech Republic,,,,,,,
Miloslav Ludvík,Czech Republic,,,,,,,
Martin Kupka,Czech Republic,,,,,,,
Matěj Stropnický,Czech Republic,,,,,,,
Petr Šimerka,Czech Republic,,,,,,,
Jaromír Drábek,Czech Republic,,,,,,,
Ludmila Müllerová,Czech Republic,,,,,,,
Jan Veleba (politician),Czech Republic,,,,,,,
František Ringo Čech,Czech Republic,,,,,,,
Michaela Marksová,Czech Republic,,,,,,,
Robert Pelikán,Czech Republic,,,,,,,
Karla Šlechtová,Czech Republic,,,,,,,
Stanislav Gross,Czech Republic,,,,,,,
Martin Stropnický,Czech Republic,,,,,,,
Leoš Heger,Czech Republic,,,,,,,
Bohuslav Svoboda,Czech Republic,,,,,,,
Miroslava Němcová,Czech Republic,,,,,,,
Zbyněk Stanjura,Czech Republic,,,,,,,
Drahomíra Miklošová,Czech Republic,,,,,,,
Václav Klaus Jr.,Czech Republic,,,,,,,
Dominik Feri,Czech Republic,,,,,,,
Alexandra Udženija,Czech Republic,,,,,,,
Ivan Pilný,Czech Republic,,,,,,,
Marta Semelová,Czech Republic,,,,,,,
Daniel Herman,Czech Republic,,,,,,,
Jan Hamáček,Czech Republic,,,,,,,
Michal Horáček,Czech Republic,,,,,,,
Václav Klaus,Czech Republic,,,,,,,
Martin Kuba,Czech Republic,,,,,,,
Martin Říman,Czech Republic,,,,,,,
Kateřina Valachová,Czech Republic,,,,,,,
Vladimír Tošovský,Czech Republic,,,,,,,
Pavel Svoboda,Czech Republic,,,,,,,
Petr Fiala,Czech Republic,,,,,,,
Vladimír Špidla,Czech Republic,,,,,,,
Timoteo Menéndez,Salvadoran,,,,,,,
Joaquín Escolán y Balibrera,Salvadoran,,,,,,,
Fermín Palacios,Salvadoran,,,,,,,
Eugenio Aguilar,Salvadoran,,,,,,,
Tomás Medina,Salvadoran,,,,,,,
Ramón Rodríguez (Salvadoran politician),Salvadoran,,,,,,,
Vicente Gómez,Salvadoran,,,,,,,
Lorenzo Zepeda,Salvadoran,,,,,,,
José María Peralta,Salvadoran,,,,,,,
Francisco Menéndez,Salvadoran,,,,,,,
Pedro José Escalón,Salvadoran,,,,,,,
Fernando Figueroa,Salvadoran,,,,,,,
Carlos Meléndez (politician),Salvadoran,,,,,,,
Fabio Castillo Figueroa,Salvadoran,,,,,,,
Ricardo Montenegro,Salvadoran,,,,,,,
Rafael Campo,Salvadoran,,,,,,,
Miguel Santín del Castillo,Salvadoran,,,,,,,
Osmín Aguirre y Salinas,Salvadoran,,,,,,,
Eusebio Rodolfo Cordón Cea,Salvadoran,,,,,,,
Juan José Guzmán,Salvadoran,,,,,,,
Juan José Cañas,Salvadoran,,,,,,,
José Gregorio Salazar,Salvadoran,,,,,,,
Diego Vigil Cocaña,Salvadoran,,,,,,,
Nicolás Espinoza,Salvadoran,,,,,,,
Pedro Barriere,Salvadoran,,,,,,,
Joaquín de San Martín,Salvadoran,,,,,,,
José Félix Quirós,Salvadoran,,,,,,,
Edgardo Carlos Suárez Mallagray,Salvadoran,,,,,,,
Aníbal Portillo,Salvadoran,,,,,,,
José Francisco Valiente,Salvadoran,,,,,,,
Diego de Holguín,Salvadoran,,,,,,,
Sigfrido Reyes Morales,Salvadoran,,,,,,,
Manuel Enrique Araujo,Salvadoran,,,,,,,
Joaquín Eufrasio Guzmán,Salvadoran,,,,,,,
Francisco Malespín,Salvadoran,,,,,,,
Rodrigo Ávila,Salvadoran,,,,,,,
Mario Aguiñada Carranza,Salvadoran,,,,,,,
David Rodríguez Rivera,Salvadoran,,,,,,,
Carlos Ezeta,Salvadoran,,,,,,,
Andrés Ignacio Menéndez,Salvadoran,,,,,,,
Gerardo Barrios,Salvadoran,,,,,,,
Rubén Zamora,Salvadoran,,,,,,,
Antonio José Cañas,Salvadoran,,,,,,,
José Atilio Benítez Parada,Salvadoran,,,,,,,
Violeta Menjívar,Salvadoran,,,,,,,
Santiago González (politician),Salvadoran,,,,,,,
Rosa Amelia Guzmán,Salvadoran,,,,,,,
Gloria Salguero Gross,Salvadoran,,,,,,,
David Joaquín Guzmán,Salvadoran,,,,,,,
Francisco Gómez (El Salvador President),Salvadoran,,,,,,,
Francisco Dueñas,Salvadoran,,,,,,,
Rafael Zaldívar,Salvadoran,,,,,,,
Óscar Ortiz (El Salvador),Salvadoran,,,,,,,
José Damián Villacorta,Salvadoran,,,,,,,
José Escolástico Marín,Salvadoran,,,,,,,
José María Cornejo,Salvadoran,,,,,,,
José María Peralta Lagos,Salvadoran,,,,,,,
José María San Martín,Salvadoran,,,,,,,
José María Silva,Salvadoran,,,,,,,
Juan Manuel Rodríguez,Salvadoran,,,,,,,
Juan Vicente Villacorta Díaz,Salvadoran,,,,,,,
Juan José Daboub,Salvadoran,,,,,,,
José Arturo Vásquez Machado,Salvadoran,,,,,,,
Andrés del Valle,Salvadoran,,,,,,,
Lilian Mercedes Letona,Salvadoran,,,,,,,
Carlos Quintanilla Schmidt,Salvadoran,,,,,,,
Enrique Álvarez Córdova,Salvadoran,,,,,,,
Arturo Araujo,Salvadoran,,,,,,,
Rubén Alonso Rosales,Salvadoran,,,,,,,
Mariano Prado,Salvadoran,,,,,,,
Pío Romero Bosque,Salvadoran,,,,,,,
Alfonso Quiñónez Molina,Salvadoran,,,,,,,
Jorge Meléndez,Salvadoran,,,,,,,
Carmen Elena Figueroa,Salvadoran,,,,,,,
Felipe Codallos,Salvadoran,,,,,,,
Tomás Regalado (Salvadoran politician),Salvadoran,,,,,,,
Doroteo Vasconcelos,Salvadoran,,,,,,,
Alfredo Cristiani,Salvadoran,,,,,,,
Óscar Osorio,Salvadoran,,,,,,,
Lourdes Rodríguez de Flores,Salvadoran,,,,,,,
Álvaro Magaña,Salvadoran,,,,,,,
Salvador Castaneda Castro,Salvadoran,,,,,,,
Julio Adalberto Rivera Carballo,Salvadoran,,,,,,,
Carlos Salazar Castro,Salvadoran,,,,,,,
Maximiliano Hernández Martínez,Salvadoran,,,,,,,
Reynaldo Galindo Pohl,Salvadoran,,,,,,,
Ciro Cruz Zepeda,Salvadoran,,,,,,,
Ana Ligia Mixco Sol de Saca,Salvadoran,,,,,,,
Carlos Humberto Romero,Salvadoran,,,,,,,
Ana María,Salvadoran,,,,,,,
Arturo Armando Molina,Salvadoran,,,,,,,
Carlos Eugenio Vides Casanova,Salvadoran,,,,,,,
Miguel Álvarez Castro,Salvadoran,,,,,,,
José Guillermo García,Salvadoran,,,,,,,
Marisol Argueta de Barillas,Salvadoran,,,,,,,
René Emilio Ponce,Salvadoran,,,,,,,
Guillermo Ungo,Salvadoran,,,,,,,
Antonio Saca,Salvadoran,,,,,,,
Hugo Lindo,Salvadoran,,,,,,,
Schafik Handal,Salvadoran,,,,,,,
Ana Vilma de Escobar,Salvadoran,,,,,,,
Juan Lindo,Salvadoran,,,,,,,
Mauricio Funes,Salvadoran,,,,,,,
Vice President of El Salvador,Salvadoran,,,,,,,
Francisco Flores Pérez,Salvadoran,,,,,,,
José Napoleón Duarte,Salvadoran,,,,,,,
Armando Calderón Sol,Salvadoran,,,,,,,
Fidel Sánchez Hernández,Salvadoran,,,,,,,
Rafael Antonio Gutiérrez,Salvadoran,,,,,,,
Irma Dimas,Salvadoran,,,,,,,
Manuel José Arce,Salvadoran,,,,,,,
President of El Salvador,Salvadoran,,,,,,,
José Matías Delgado,Salvadoran,,,,,,,
Vanda Pignato,Salvadoran,,,,,,,
José María Lemus,Salvadoran,,,,,,,
Salvador Sánchez Cerén,Salvadoran,,,,,,,
Gervas Clay,Rhodesian,,,,,,,
Harry Davies (politician),Rhodesian,,,,,,,
William Fairbridge,Rhodesian,,,,,,,
Washington Malianga,Rhodesian,,,,,,,
Ronald Snapper,Rhodesian,,,,,,,
Gerald B. Clarke,Rhodesian,,,,,,,
Francis Chaplin,Rhodesian,,,,,,,
Roger Hawkins (politician),Rhodesian,,,,,,,
George Mitchell (Rhodesia),Rhodesian,,,,,,,
John Landau,Rhodesian,,,,,,,
Byron Hove,Rhodesian,,,,,,,
Hilary Squires,Rhodesian,,,,,,,
Cecil Dennistoun Burney,Rhodesian,,,,,,,
Mark Partridge,Rhodesian,,,,,,,
Prime Minister of Rhodesia,Rhodesian,,,,,,,
Leo Cardwell Ross,Rhodesian,,,,,,,
Josiah Gondo,Rhodesian,,,,,,,
Dunduzu Chisiza,Rhodesian,,,,,,,
Allan Ross Welsh,Rhodesian,,,,,,,
John Moore Caldicott,Rhodesian,,,,,,,
John Ralph Beaumont,Rhodesian,,,,,,,
Leonard Ray Morgan,Rhodesian,,,,,,,
Raleigh Grey,Rhodesian,,,,,,,
Robert Clarkson Tredgold,Rhodesian,,,,,,,
Robert James Hudson,Rhodesian,,,,,,,
William Harper (Rhodesian politician),Rhodesian,,,,,,,
Rowan Cronjé,Rhodesian,,,,,,,
Edgar Whitehead,Rhodesian,,,,,,,
Henry Hamilton Beamish,Rhodesian,,,,,,,
Lionel Cripps,Rhodesian,,,,,,,
A. R. Colquhoun,Rhodesian,,,,,,,
John McChlery,Rhodesian,,,,,,,
Jeremiah Chirau,Rhodesian,,,,,,,
Winston Field,Rhodesian,,,,,,,
Howard Unwin Moffat,Rhodesian,,,,,,,
Ken Flower,Rhodesian,,,,,,,
Andrew Skeen (Rhodesia),Rhodesian,,,,,,,
Hugh Beadle,Rhodesian,,,,,,,
Hugh Marshall Hole,Rhodesian,,,,,,,
Roy Welensky,Rhodesian,,,,,,,
Abel Muzorewa,Rhodesian,,,,,,,
Signatories of Rhodesia's Unilateral Declaration of Independence,Rhodesian,,,,,,,
Jack Howman,Rhodesian,,,,,,,
Ethel Tawse Jollie,Rhodesian,,,,,,,
Alan David Butler,Rhodesian,,,,,,,
Jack William Pithey,Rhodesian,,,,,,,
President of Rhodesia,Rhodesian,,,,,,,
Denis Walker,Rhodesian,,,,,,,
James Cowden,Rhodesian,,,,,,,
Herbert Chitepo,Rhodesian,,,,,,,
Thomas Nangle,Rhodesian,,,,,,,
Timothy Stamps,Rhodesian,,,,,,,
Sam Levy,Rhodesian,,,,,,,
Humphrey Gibbs,Rhodesian,,,,,,,
P. K. van der Byl,Rhodesian,,,,,,,
Clifford Dupont,Rhodesian,,,,,,,
Lance Smith (politician),Rhodesian,,,,,,,
Desmond Lardner-Burke,Rhodesian,,,,,,,
John Bredenkamp,Rhodesian,,,,,,,
Frank Rhodes (British Army officer),Rhodesian,,,,,,,
Ernest Lucas Guest,Rhodesian,,,,,,,
Godfrey Chidyausiku,Rhodesian,,,,,,,
Richard Hope Hall,Rhodesian,,,,,,,
Crosaire,Rhodesian,,,,,,,
Gaston Thornicroft,Rhodesian,,,,,,,
"James Graham, 7th Duke of Montrose",Rhodesian,,,,,,,
Ahrn Palley,Rhodesian,,,,,,,
Allan Savory,Rhodesian,,,,,,,
Ian Smith,Rhodesian,,,,,,,
Garfield Todd,Rhodesian,,,,,,,
Douglas Hamilton Ritchie,Rhodesian,,,,,,,
Godfrey Huggins,Rhodesian,,,,,,,
George Hackwill,Rhodesian,,,,,,,
Henry Everard,Rhodesian,,,,,,,
John Wrathall,Rhodesian,,,,,,,
Mavua Mudima,"Congo, Dem. Rep. of",,,,,,,
List of provincial governors of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",,,,,,,
Eugène Diomi Ndongala Nzomambu,"Congo, Dem. Rep. of",,,,,,,
Théophile Mbemba Fundu,"Congo, Dem. Rep. of",,,,,,,
Ntumba Luaba,"Congo, Dem. Rep. of",,,,,,,
Myra Ndjoku Manianga,"Congo, Dem. Rep. of",,,,,,,
André-Philippe Futa,"Congo, Dem. Rep. of",,,,,,,
Gérard Gifuza,"Congo, Dem. Rep. of",,,,,,,
Koloso Sumaili,"Congo, Dem. Rep. of",,,,,,,
Célestin Cibalonza Byaterana,"Congo, Dem. Rep. of",,,,,,,
Emmanuel Leku Apuobo,"Congo, Dem. Rep. of",,,,,,,
Kisula Ngoy,"Congo, Dem. Rep. of",,,,,,,
Jean Collins Musonda Kalusambo,"Congo, Dem. Rep. of",,,,,,,
Denis Kalume Numbi,"Congo, Dem. Rep. of",,,,,,,
Delphin Kyubwa,"Congo, Dem. Rep. of",,,,,,,
Sylvain Ngabu Chumbu,"Congo, Dem. Rep. of",,,,,,,
José Endundo Bononge,"Congo, Dem. Rep. of",,,,,,,
Richard Muyej Mangez,"Congo, Dem. Rep. of",,,,,,,
Sébastien Impeto Pengo,"Congo, Dem. Rep. of",,,,,,,
Clovis Kabongo Malemba,"Congo, Dem. Rep. of",,,,,,,
François Nicéphore Kakese,"Congo, Dem. Rep. of",,,,,,,
Raymond Ramazani Baya,"Congo, Dem. Rep. of",,,,,,,
Mulumba Lukoji,"Congo, Dem. Rep. of",,,,,,,
Alexandre Luba Ntambo,"Congo, Dem. Rep. of",,,,,,,
Oscar Kashala,"Congo, Dem. Rep. of",,,,,,,
Jean-Marie Runiga Lugerero,"Congo, Dem. Rep. of",,,,,,,
Christian Malanga,"Congo, Dem. Rep. of",,,,,,,
Faustin Birindwa,"Congo, Dem. Rep. of",,,,,,,
Chikez Diemu,"Congo, Dem. Rep. of",,,,,,,
Minister of Foreign Affairs (Democratic Republic of the Congo),"Congo, Dem. Rep. of",,,,,,,
Edouard Kiove Kola,"Congo, Dem. Rep. of",,,,,,,
Daniel Mukoko Samba,"Congo, Dem. Rep. of",,,,,,,
Dolly Makambo Nawezi,"Congo, Dem. Rep. of",,,,,,,
Germain Kambinga,"Congo, Dem. Rep. of",,,,,,,
Richard Ndambu Wolang,"Congo, Dem. Rep. of",,,,,,,
Simon Mbatshi Batshia,"Congo, Dem. Rep. of",,,,,,,
José Makila Sumanda,"Congo, Dem. Rep. of",,,,,,,
Trésor Kapuku Ngoy,"Congo, Dem. Rep. of",,,,,,,
Charles Mwando Simba,"Congo, Dem. Rep. of",,,,,,,
Jules Fontaine Sambwa,"Congo, Dem. Rep. of",,,,,,,
Mabi Mulumba,"Congo, Dem. Rep. of",,,,,,,
N'Singa Udjuu,"Congo, Dem. Rep. of",,,,,,,
Sultani Makenga,"Congo, Dem. Rep. of",,,,,,,
Josué Alex Mukendi,"Congo, Dem. Rep. of",,,,,,,
Raymond Tshibanda,"Congo, Dem. Rep. of",,,,,,,
Banza Mukalay,"Congo, Dem. Rep. of",,,,,,,
Évariste Boshab,"Congo, Dem. Rep. of",,,,,,,
Marie-Ange Mushobekwa,"Congo, Dem. Rep. of",,,,,,,
Jean Andeka,"Congo, Dem. Rep. of",,,,,,,
Aimé Ngoy Mukena,"Congo, Dem. Rep. of",,,,,,,
Aimé Boji,"Congo, Dem. Rep. of",,,,,,,
Léonard Mulamba,"Congo, Dem. Rep. of",,,,,,,
Noel K Tshiani Muadiamvita,"Congo, Dem. Rep. of",,,,,,,
Kasongo Ilunga,"Congo, Dem. Rep. of",,,,,,,
Pierre Lumbi Okongo,"Congo, Dem. Rep. of",,,,,,,
Jeannette Kavira Mapera,"Congo, Dem. Rep. of",,,,,,,
Vice-Presidents of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",,,,,,,
Odilon Kafitwe wa pa Bowa,"Congo, Dem. Rep. of",,,,,,,
Louis Alphonse Koyagialo,"Congo, Dem. Rep. of",,,,,,,
Luzolo Bambi Lessa,"Congo, Dem. Rep. of",,,,,,,
Jonas Mukamba Kadiata Nzemba,"Congo, Dem. Rep. of",,,,,,,
Arthur Z'ahidi Ngoma,"Congo, Dem. Rep. of",,,,,,,
Emile Mota,"Congo, Dem. Rep. of",,,,,,,
Lambert Mende Omalanga,"Congo, Dem. Rep. of",,,,,,,
Justine Kasa-Vubu,"Congo, Dem. Rep. of",,,,,,,
Cléophas Kamitatu,"Congo, Dem. Rep. of",,,,,,,
Jean Nguza Karl-i-Bond,"Congo, Dem. Rep. of",,,,,,,
Adam Bombolé,"Congo, Dem. Rep. of",,,,,,,
Adolphe Lumanu,"Congo, Dem. Rep. of",,,,,,,
Adolphe Muzito cabinet,"Congo, Dem. Rep. of",,,,,,,
Justin Marie Bomboko,"Congo, Dem. Rep. of",,,,,,,
Christian Atoki Ileka,"Congo, Dem. Rep. of",,,,,,,
Paul Joseph Mukungubila Mutombo,"Congo, Dem. Rep. of",,,,,,,
Ferdinand Essandja,"Congo, Dem. Rep. of",,,,,,,
Martin Kabwelulu,"Congo, Dem. Rep. of",,,,,,,
Antipas Mbusa,"Congo, Dem. Rep. of",,,,,,,
Laurent Mbariko,"Congo, Dem. Rep. of",,,,,,,
Union of Congolese Patriots,"Congo, Dem. Rep. of",,,,,,,
Azarias Ruberwa,"Congo, Dem. Rep. of",,,,,,,
Banyingela Kasonga,"Congo, Dem. Rep. of",,,,,,,
Anicet Kashamura,"Congo, Dem. Rep. of",,,,,,,
Sophie Kanza,"Congo, Dem. Rep. of",,,,,,,
Bertrand Bisimwa,"Congo, Dem. Rep. of",,,,,,,
Charles Kisolokele,"Congo, Dem. Rep. of",,,,,,,
Antoine Ghonda,"Congo, Dem. Rep. of",,,,,,,
Abdoulaye Yerodia Ndombasi,"Congo, Dem. Rep. of",,,,,,,
Paul Bolya,"Congo, Dem. Rep. of",,,,,,,
Freddy Matungulu,"Congo, Dem. Rep. of",,,,,,,
Emmanuel Dungia,"Congo, Dem. Rep. of",,,,,,,
Munga Mibindo,"Congo, Dem. Rep. of",,,,,,,
Eric Lenge,"Congo, Dem. Rep. of",,,,,,,
Guy-Patrice Lumumba,"Congo, Dem. Rep. of",,,,,,,
